Categoria: Todas as categorias

Mês,Bulgogi: (São Paulo)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,100
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,97
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,68
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,19
2011-02,19
2011-03,34
2011-04,0
2011-05,0
2011-06,0
2011-07,32
2011-08,0
2011-09,15
2011-10,14
2011-11,0
2011-12,15
2012-01,13
2012-02,14
2012-03,0
2012-04,0
2012-05,12
2012-06,13
2012-07,0
2012-08,16
2012-09,24
2012-10,11
2012-11,20
2012-12,12
2013-01,11
2013-02,12
2013-03,0
2013-04,10
2013-05,10
2013-06,10
2013-07,20
2013-08,10
2013-09,10
2013-10,9
2013-11,14
2013-12,17
2014-01,28
2014-02,15
2014-03,18
2014-04,9
2014-05,18
2014-06,24
2014-07,10
2014-08,16
2014-09,9
2014-10,15
2014-11,14
2014-12,14
2015-01,13
2015-02,16
2015-03,9
2015-04,0
2015-05,19
2015-06,19
2015-07,17
2015-08,22
2015-09,13
2015-10,14
2015-11,34
2015-12,18
2016-01,19
2016-02,16
2016-03,15
2016-04,14
2016-05,13
2016-06,22
2016-07,19
2016-08,23
2016-09,14
2016-10,18
2016-11,12
2016-12,10
2017-01,12
2017-02,19
2017-03,16
2017-04,33
2017-05,26
2017-06,21
2017-07,28
2017-08,19
2017-09,18
2017-10,14
2017-11,11
2017-12,30
2018-01,19
2018-02,14
2018-03,13
2018-04,14
2018-05,20
2018-06,16
2018-07,11
2018-08,19
2018-09,21
2018-10,23
2018-11,65
2018-12,27
2019-01,22
2019-02,14
2019-03,12
2019-04,11
2019-05,15
2019-06,33
2019-07,16
2019-08,35
2019-09,32
2019-10,31
2019-11,22
2019-12,21
2020-01,24
2020-02,25
2020-03,21
2020-04,44
2020-05,23
2020-06,16
