Categoria: Todas as categorias

Mês,Dorama: (São Paulo)
2008-01,11
2008-02,19
2008-03,7
2008-04,15
2008-05,17
2008-06,22
2008-07,10
2008-08,19
2008-09,18
2008-10,18
2008-11,19
2008-12,20
2009-01,17
2009-02,16
2009-03,23
2009-04,17
2009-05,28
2009-06,12
2009-07,26
2009-08,23
2009-09,22
2009-10,10
2009-11,13
2009-12,17
2010-01,30
2010-02,19
2010-03,18
2010-04,23
2010-05,27
2010-06,34
2010-07,20
2010-08,25
2010-09,18
2010-10,22
2010-11,21
2010-12,17
2011-01,24
2011-02,18
2011-03,15
2011-04,21
2011-05,21
2011-06,16
2011-07,24
2011-08,17
2011-09,19
2011-10,19
2011-11,23
2011-12,23
2012-01,25
2012-02,23
2012-03,19
2012-04,19
2012-05,20
2012-06,19
2012-07,25
2012-08,21
2012-09,24
2012-10,22
2012-11,23
2012-12,23
2013-01,24
2013-02,24
2013-03,20
2013-04,19
2013-05,19
2013-06,21
2013-07,30
2013-08,25
2013-09,21
2013-10,24
2013-11,27
2013-12,25
2014-01,29
2014-02,25
2014-03,22
2014-04,26
2014-05,25
2014-06,29
2014-07,29
2014-08,22
2014-09,27
2014-10,29
2014-11,27
2014-12,34
2015-01,35
2015-02,34
2015-03,30
2015-04,33
2015-05,32
2015-06,30
2015-07,31
2015-08,24
2015-09,27
2015-10,27
2015-11,29
2015-12,35
2016-01,36
2016-02,30
2016-03,26
2016-04,35
2016-05,31
2016-06,30
2016-07,40
2016-08,27
2016-09,33
2016-10,38
2016-11,37
2016-12,46
2017-01,44
2017-02,43
2017-03,31
2017-04,37
2017-05,34
2017-06,35
2017-07,52
2017-08,35
2017-09,39
2017-10,41
2017-11,42
2017-12,52
2018-01,55
2018-02,46
2018-03,38
2018-04,40
2018-05,42
2018-06,47
2018-07,53
2018-08,44
2018-09,46
2018-10,45
2018-11,49
2018-12,52
2019-01,54
2019-02,46
2019-03,50
2019-04,45
2019-05,41
2019-06,54
2019-07,64
2019-08,51
2019-09,46
2019-10,45
2019-11,51
2019-12,67
2020-01,64
2020-02,63
2020-03,81
2020-04,98
2020-05,100
2020-06,88
