Categoria: Todas as categorias

Mês,Churrasco coreano: (São Paulo)
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,39
2011-07,37
2011-08,0
2011-09,34
2011-10,0
2011-11,33
2011-12,34
2012-01,31
2012-02,0
2012-03,44
2012-04,0
2012-05,38
2012-06,30
2012-07,43
2012-08,27
2012-09,0
2012-10,50
2012-11,27
2012-12,57
2013-01,26
2013-02,57
2013-03,47
2013-04,46
2013-05,22
2013-06,23
2013-07,23
2013-08,0
2013-09,0
2013-10,0
2013-11,32
2013-12,23
2014-01,0
2014-02,47
2014-03,0
2014-04,0
2014-05,21
2014-06,47
2014-07,22
2014-08,33
2014-09,0
2014-10,41
2014-11,0
2014-12,24
2015-01,44
2015-02,32
2015-03,21
2015-04,22
2015-05,43
2015-06,21
2015-07,27
2015-08,30
2015-09,33
2015-10,19
2015-11,19
2015-12,21
2016-01,32
2016-02,34
2016-03,34
2016-04,0
2016-05,20
2016-06,43
2016-07,43
2016-08,28
2016-09,64
2016-10,21
2016-11,64
2016-12,73
2017-01,21
2017-02,73
2017-03,31
2017-04,55
2017-05,33
2017-06,31
2017-07,42
2017-08,57
2017-09,41
2017-10,63
2017-11,26
2017-12,55
2018-01,56
2018-02,42
2018-03,66
2018-04,44
2018-05,37
2018-06,31
2018-07,63
2018-08,81
2018-09,55
2018-10,27
2018-11,56
2018-12,63
2019-01,81
2019-02,26
2019-03,50
2019-04,57
2019-05,62
2019-06,100
2019-07,36
2019-08,40
2019-09,69
2019-10,97
2019-11,45
2019-12,43
2020-01,66
2020-02,56
2020-03,29
2020-04,15
2020-05,49
2020-06,42
