Categoria: Todas as categorias

Mês,Culinária da Coreia: (São Paulo)
2011-02,0
2011-03,22
2011-04,46
2011-05,21
2011-06,44
2011-07,31
2011-08,29
2011-09,0
2011-10,36
2011-11,37
2011-12,19
2012-01,17
2012-02,19
2012-03,65
2012-04,17
2012-05,16
2012-06,0
2012-07,32
2012-08,30
2012-09,16
2012-10,35
2012-11,30
2012-12,32
2013-01,0
2013-02,40
2013-03,13
2013-04,45
2013-05,12
2013-06,51
2013-07,25
2013-08,31
2013-09,13
2013-10,35
2013-11,36
2013-12,52
2014-01,18
2014-02,33
2014-03,41
2014-04,12
2014-05,36
2014-06,27
2014-07,19
2014-08,43
2014-09,12
2014-10,70
2014-11,19
2014-12,13
2015-01,25
2015-02,27
2015-03,12
2015-04,19
2015-05,24
2015-06,42
2015-07,62
2015-08,61
2015-09,11
2015-10,38
2015-11,54
2015-12,35
2016-01,42
2016-02,26
2016-03,12
2016-04,30
2016-05,69
2016-06,54
2016-07,36
2016-08,36
2016-09,66
2016-10,41
2016-11,41
2016-12,43
2017-01,29
2017-02,81
2017-03,26
2017-04,52
2017-05,33
2017-06,23
2017-07,77
2017-08,69
2017-09,34
2017-10,64
2017-11,38
2017-12,46
2018-01,69
2018-02,47
2018-03,91
2018-04,54
2018-05,57
2018-06,100
2018-07,74
2018-08,89
2018-09,62
2018-10,74
2018-11,42
2018-12,71
2019-01,63
2019-02,72
2019-03,78
2019-04,54
2019-05,55
2019-06,64
2019-07,61
2019-08,48
2019-09,63
2019-10,50
2019-11,62
2019-12,77
2020-01,88
2020-02,71
2020-03,90
2020-04,74
2020-05,67
2020-06,59
