Categoria: Todas as categorias

Mês,Kimchi: (São Paulo)
2008-01,0
2008-02,0
2008-03,0
2008-04,48
2008-05,48
2008-06,47
2008-07,47
2008-08,0
2008-09,0
2008-10,39
2008-11,0
2008-12,0
2009-01,0
2009-02,46
2009-03,0
2009-04,58
2009-05,0
2009-06,37
2009-07,36
2009-08,0
2009-09,0
2009-10,0
2009-11,35
2009-12,0
2010-01,0
2010-02,0
2010-03,31
2010-04,0
2010-05,33
2010-06,35
2010-07,33
2010-08,31
2010-09,31
2010-10,30
2010-11,30
2010-12,96
2011-01,9
2011-02,12
2011-03,8
2011-04,21
2011-05,11
2011-06,11
2011-07,11
2011-08,19
2011-09,7
2011-10,9
2011-11,27
2011-12,14
2012-01,19
2012-02,10
2012-03,9
2012-04,15
2012-05,6
2012-06,16
2012-07,8
2012-08,20
2012-09,14
2012-10,17
2012-11,28
2012-12,12
2013-01,16
2013-02,17
2013-03,21
2013-04,13
2013-05,12
2013-06,23
2013-07,23
2013-08,14
2013-09,21
2013-10,18
2013-11,25
2013-12,14
2014-01,28
2014-02,16
2014-03,17
2014-04,9
2014-05,20
2014-06,28
2014-07,24
2014-08,21
2014-09,30
2014-10,17
2014-11,24
2014-12,29
2015-01,32
2015-02,21
2015-03,22
2015-04,17
2015-05,21
2015-06,27
2015-07,29
2015-08,23
2015-09,14
2015-10,32
2015-11,27
2015-12,22
2016-01,25
2016-02,36
2016-03,34
2016-04,23
2016-05,39
2016-06,53
2016-07,44
2016-08,31
2016-09,25
2016-10,40
2016-11,50
2016-12,30
2017-01,49
2017-02,41
2017-03,44
2017-04,40
2017-05,47
2017-06,49
2017-07,52
2017-08,57
2017-09,41
2017-10,43
2017-11,43
2017-12,76
2018-01,62
2018-02,48
2018-03,53
2018-04,38
2018-05,47
2018-06,66
2018-07,58
2018-08,61
2018-09,50
2018-10,43
2018-11,69
2018-12,48
2019-01,52
2019-02,39
2019-03,35
2019-04,55
2019-05,53
2019-06,52
2019-07,52
2019-08,47
2019-09,57
2019-10,60
2019-11,62
2019-12,71
2020-01,89
2020-02,72
2020-03,72
2020-04,100
2020-05,92
2020-06,88
