Categoria: Todas as categorias

Mês,K-pop: (São Paulo)
2008-01,7
2008-02,0
2008-03,0
2008-04,3
2008-05,0
2008-06,3
2008-07,3
2008-08,3
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,3
2009-03,0
2009-04,3
2009-05,2
2009-06,0
2009-07,2
2009-08,2
2009-09,7
2009-10,2
2009-11,2
2009-12,4
2010-01,0
2010-02,3
2010-03,0
2010-04,3
2010-05,2
2010-06,0
2010-07,3
2010-08,4
2010-09,8
2010-10,8
2010-11,3
2010-12,2
2011-01,8
2011-02,10
2011-03,6
2011-04,7
2011-05,6
2011-06,7
2011-07,8
2011-08,9
2011-09,16
2011-10,12
2011-11,13
2011-12,29
2012-01,19
2012-02,18
2012-03,19
2012-04,16
2012-05,20
2012-06,16
2012-07,23
2012-08,24
2012-09,29
2012-10,19
2012-11,20
2012-12,25
2013-01,23
2013-02,18
2013-03,14
2013-04,19
2013-05,17
2013-06,17
2013-07,24
2013-08,20
2013-09,19
2013-10,21
2013-11,17
2013-12,21
2014-01,25
2014-02,23
2014-03,20
2014-04,23
2014-05,22
2014-06,32
2014-07,24
2014-08,23
2014-09,23
2014-10,25
2014-11,19
2014-12,28
2015-01,29
2015-02,24
2015-03,21
2015-04,22
2015-05,23
2015-06,23
2015-07,31
2015-08,27
2015-09,28
2015-10,31
2015-11,31
2015-12,36
2016-01,40
2016-02,39
2016-03,38
2016-04,44
2016-05,40
2016-06,50
2016-07,54
2016-08,50
2016-09,65
2016-10,62
2016-11,61
2016-12,100
2017-01,93
2017-02,79
2017-03,73
2017-04,73
2017-05,64
2017-06,73
2017-07,82
2017-08,69
2017-09,72
2017-10,60
2017-11,67
2017-12,99
2018-01,87
2018-02,70
2018-03,69
2018-04,62
2018-05,64
2018-06,71
2018-07,84
2018-08,68
2018-09,58
2018-10,58
2018-11,56
2018-12,80
2019-01,78
2019-02,58
2019-03,70
2019-04,58
2019-05,64
2019-06,63
2019-07,75
2019-08,68
2019-09,59
2019-10,73
2019-11,75
2019-12,81
2020-01,76
2020-02,67
2020-03,71
2020-04,81
2020-05,81
2020-06,90
