Categoria: Todas as categorias

Mês,Coreia do Sul: (São Paulo)
2008-01,8
2008-02,16
2008-03,8
2008-04,8
2008-05,9
2008-06,14
2008-07,9
2008-08,22
2008-09,12
2008-10,16
2008-11,8
2008-12,10
2009-01,10
2009-02,11
2009-03,13
2009-04,12
2009-05,19
2009-06,17
2009-07,10
2009-08,11
2009-09,15
2009-10,8
2009-11,8
2009-12,10
2010-01,5
2010-02,11
2010-03,17
2010-04,11
2010-05,36
2010-06,94
2010-07,10
2010-08,13
2010-09,10
2010-10,17
2010-11,17
2010-12,11
2011-01,11
2011-02,10
2011-03,9
2011-04,9
2011-05,10
2011-06,9
2011-07,9
2011-08,11
2011-09,12
2011-10,12
2011-11,12
2011-12,12
2012-01,10
2012-02,9
2012-03,11
2012-04,14
2012-05,14
2012-06,13
2012-07,14
2012-08,33
2012-09,21
2012-10,19
2012-11,13
2012-12,13
2013-01,11
2013-02,12
2013-03,25
2013-04,46
2013-05,14
2013-06,12
2013-07,11
2013-08,13
2013-09,12
2013-10,19
2013-11,12
2013-12,11
2014-01,11
2014-02,14
2014-03,15
2014-04,26
2014-05,37
2014-06,71
2014-07,15
2014-08,16
2014-09,15
2014-10,13
2014-11,12
2014-12,13
2015-01,12
2015-02,11
2015-03,11
2015-04,13
2015-05,15
2015-06,15
2015-07,13
2015-08,16
2015-09,14
2015-10,13
2015-11,12
2015-12,13
2016-01,16
2016-02,12
2016-03,15
2016-04,16
2016-05,18
2016-06,17
2016-07,15
2016-08,26
2016-09,20
2016-10,18
2016-11,20
2016-12,19
2017-01,18
2017-02,21
2017-03,26
2017-04,46
2017-05,28
2017-06,22
2017-07,22
2017-08,28
2017-09,37
2017-10,26
2017-11,25
2017-12,29
2018-01,26
2018-02,34
2018-03,26
2018-04,31
2018-05,33
2018-06,100
2018-07,27
2018-08,30
2018-09,27
2018-10,21
2018-11,22
2018-12,23
2019-01,26
2019-02,21
2019-03,23
2019-04,24
2019-05,33
2019-06,34
2019-07,27
2019-08,27
2019-09,29
2019-10,63
2019-11,38
2019-12,29
2020-01,31
2020-02,32
2020-03,49
2020-04,53
2020-05,39
2020-06,36
